date,predicted_repos,lower_ci,upper_ci,actual_repos,diff,percent_diff,diff_ma7,cum_actual,cum_predicted,cum_diff,cum_percent
2023-05-10,93977.89144794905,-344508.3198039958,532464.1026998939,150791,56813.10855205095,60.4536957328072,58569.24321277557,23090762,18725617.923983052,4365144.076016948,23.311081608827653
2023-05-11,92836.76361449201,-348782.4496626248,534455.9768916088,154958,62121.23638550799,66.91447866867554,58642.935943685494,23245720,18818454.687597543,4427265.312402457,23.526189508643782
2023-05-12,79235.96280787681,-365409.5406656027,523881.46628135635,145125,65889.03719212319,83.15546988667775,59985.3429603097,23390845,18897690.650405418,4493154.349594582,23.77620859984915
2023-05-13,60073.967781244864,-387526.09894511115,507674.03450760094,122443,62369.032218755136,103.82039762358895,61915.32140550535,23513288,18957764.618186664,4555523.381813336,24.02985517313105
2023-05-14,64618.813200492936,-385885.25065868587,515122.87705967174,119083,54464.186799507064,84.28534060277603,63221.15699355812,23632371,19022383.431387156,4609987.568612844,24.234542349757866
2023-05-15,93500.58068573,-359869.8517143297,546871.0130857897,156534,63033.419314269995,67.41500304274592,63825.9925816109,23788905,19115884.012072887,4673020.987927113,24.44574880751424
2023-05-16,92170.77062367692,-364036.39240815106,548377.933655505,160888,68717.22937632308,74.554252841053,64116.25674109226,23949793,19208054.782696564,4741738.217303436,24.686196863489773
2023-05-17,91205.04233157958,-368340.7446872153,550750.8293503744,157159,65953.95766842042,72.3139378946201,64960.52090057362,24106952,19299259.825028144,4807692.174971856,24.911277523384733
2023-05-18,90063.91449812254,-372658.0473030596,552785.8762993047,156419,66355.08550187746,73.6755512700491,66412.21363148354,24263371,19389323.739526268,4874047.260473732,25.137788846847208
2023-05-19,76463.11369150734,-389330.07270085195,542256.3000838666,144384,67920.88630849266,88.8283029939396,66673.33493382203,24407755,19465786.853217777,4941968.146782223,25.387970103891767
2023-05-20,57301.118664875394,-411492.6929785159,526094.9303082667,125580,68278.8813351246,119.15802505436668,66409.17052187481,24533335,19523087.971882652,5010247.0281173475,25.6631893240104
2023-05-21,61845.964084123465,-409898.66408536443,533590.5922536114,126472,64626.035915876535,104.49515481393674,66874.43468135617,24659807,19584933.935966775,5074873.064033225,25.912127560019332
2023-05-22,90727.73156936053,-383930.6198637771,565386.0830024981,155589,64861.268430639466,71.49001447374843,66549.69884083752,24815396,19675661.667536136,5139734.332463864,26.12229473809346
2023-05-23,89397.92150730744,-388144.91400355904,566940.7570181739,156266,66868.07849269256,74.79824739239235,68326.96300031888,24971662,19765059.589043442,5206602.410956558,26.34245744365367
2023-05-24,88432.1932152101,-392489.2122865484,569353.5987169687,157643,69210.8067847899,78.26426583852476,68793.08430265737,25129305,19853491.782258652,5275813.217741348,26.573729576657573
2023-05-25,87291.06538175307,-396849.1947856812,571431.3255491874,151373,64081.93461824693,73.41179115868866,69137.7770335673,25280678,19940782.847640406,5339895.152359594,26.778763868798983
2023-05-26,73690.26457513787,-413565.57437800156,560946.1035282773,154052,80361.73542486213,109.05339516446129,70460.04119304864,25434730,20014473.112215545,5420256.887784455,27.081686624447183
2023-05-27,54528.26954850592,-435773.622657362,544830.1617543738,126070,71541.73045149408,131.20117517731558,70686.73392395857,25560800,20069001.38176405,5491798.618235949,27.364583387921538
2023-05-28,59073.114967753994,-434225.7443594416,552371.9742949496,126112,67038.885032246,113.4845945889941,70992.4266548685,25686912,20128074.496731803,5558837.503268197,27.61733371053841
2023-05-29,87954.88245299106,-408304.36243745696,584214.1273434391,162072,74117.11754700894,84.26720095569686,70781.11938577842,25848984,20216029.379184794,5632954.620815206,27.8638030998071
2023-05-30,86625.07239093797,-412565.7007881857,585815.8455700617,155080,68454.92760906203,79.02438141710948,69837.38354525977,26004064,20302654.45157573,5701409.54842427,28.082089275679774
2023-05-31,85659.34409884064,-416949.597819078,588268.2860167592,157010,71350.65590115936,83.29582330075893,70071.21913331255,26161074,20388313.79567457,5772760.20432543,28.314063939658098
2023-06-01,84518.2162653836,-421351.7765288553,590388.2090596225,147121,62602.7837346164,74.07016676505137,70855.34043565104,26308195,20472832.011939954,5835362.988060046,28.50295935929531
2023-06-02,70917.4154587684,-438111.9465636014,579946.7774811382,144673,73755.5845412316,104.00207630820009,69524.17602370384,26452868,20543749.427398723,5909118.572601277,28.763583753218985
2023-06-03,51755.42043213645,-460364.8096491976,563875.6505134705,124934,73178.57956786355,141.39307333773453,69164.58304032804,26577802,20595504.847830858,5982297.152169142,29.046615736633445
2023-06-04,56300.26585138452,-458862.4367023248,571462.9684050938,128828,72527.73414861548,128.82307579162503,69815.84719980939,26706630,20651805.113682244,6054824.886317756,29.318623011343014
2023-06-05,85182.0333366216,-432987.0500379397,603351.1167111829,149981,64798.96666337841,76.07116680028808,70713.2542164336,26856611,20736987.147018865,6119623.852981135,29.510670038973757
2023-06-06,83852.2232745685,-437294.75001450477,604999.1965636418,149790,65937.7767254315,78.6356928301384,72584.08980448639,27006401,20820839.370293435,6185561.629706565,29.708512321227282
2023-06-07,82886.49498247117,-441717.89727276604,607490.8872377083,158796,75909.50501752883,91.58247677571862,73489.78253539631,27165197,20903725.865275905,6261471.134724095,29.953852127028224
2023-06-08,81745.36714901413,-446161.79850198,609652.5328000083,150630,68884.63285098587,84.2673233400685,73886.33240916338,27315827,20985471.23242492,6330355.767575081,30.16542110235756
