date,new_repos
5/20/20,134959
5/21/20,95864
5/22/20,90135
5/23/20,78133
5/24/20,78548
5/25/20,92984
5/26/20,98842
5/27/20,98077
5/28/20,98866
5/29/20,90590
5/30/20,77630
5/31/20,80968
6/1/20,102099
6/2/20,99570
6/3/20,96630
6/4/20,95310
6/5/20,149524
6/6/20,191425
6/7/20,192457
6/8/20,202779
6/9/20,99246
6/10/20,49432
6/11/20,94165
6/12/20,87493
6/13/20,75157
6/14/20,78114
6/15/20,96661
6/16/20,97624
6/17/20,94622
6/18/20,93502
6/19/20,88012
6/20/20,74159
6/21/20,75615
6/22/20,95484
6/23/20,95996
6/24/20,93652
6/25/20,79683
6/26/20,84280
6/27/20,74859
6/28/20,78296
6/29/20,91495
6/30/20,99288
7/1/20,92499
7/2/20,91503
7/3/20,84361
7/4/20,71280
7/5/20,75097
7/6/20,94740
7/7/20,96829
7/8/20,95281
7/9/20,104227
7/10/20,96317
7/11/20,77275
7/12/20,78519
7/13/20,94348
7/14/20,100610
7/15/20,99764
7/16/20,99323
7/17/20,95775
7/18/20,81180
7/19/20,81348
7/20/20,96307
7/21/20,100686
7/22/20,100698
7/23/20,98069
7/24/20,91275
7/25/20,77964
7/26/20,79769
7/27/20,98065
7/28/20,101771
7/29/20,99989
7/30/20,94016
7/31/20,88990
8/1/20,78424
8/2/20,77035
8/3/20,96342
8/4/20,99291
8/5/20,95386
8/6/20,94107
8/7/20,86013
8/8/20,71685
8/9/20,72825
8/10/20,94105
8/11/20,95497
8/12/20,93575
8/13/20,91638
8/14/20,85073
8/15/20,72064
8/16/20,74364
8/17/20,93763
8/18/20,101115
8/19/20,93751
8/20/20,93935
8/21/20,30280
8/23/20,21896
8/24/20,96382
8/25/20,98319
8/26/20,97286
8/27/20,97630
8/28/20,90756
8/29/20,73232
8/30/20,74463
8/31/20,95540
9/1/20,96865
9/2/20,97222
9/3/20,91395
9/4/20,79189
9/5/20,75349
9/6/20,78649
9/7/20,97136
9/8/20,103868
9/9/20,104226
9/10/20,96033
9/11/20,104682
9/12/20,74898
9/13/20,78080
9/14/20,106173
9/15/20,108249
9/16/20,102802
9/17/20,102604
9/18/20,95984
9/19/20,84247
9/20/20,78421
9/21/20,105239
9/22/20,110644
9/23/20,116865
9/24/20,102627
9/25/20,93012
9/26/20,77557
9/27/20,78817
9/28/20,105003
9/29/20,103932
9/30/20,104455
10/1/20,100959
10/2/20,95424
10/3/20,80356
10/4/20,81068
10/5/20,104824
10/6/20,107000
10/7/20,103715
10/8/20,103236
10/9/20,94714
10/10/20,81052
10/11/20,80327
10/12/20,103479
10/13/20,99373
10/14/20,103187
10/15/20,101981
10/16/20,95457
10/17/20,80163
10/18/20,81600
10/19/20,108308
10/20/20,108308
10/21/20,106412
10/22/20,106075
10/23/20,97340
10/24/20,76842
10/25/20,78646
10/26/20,105620
10/27/20,105480
10/28/20,103585
10/29/20,106031
10/30/20,99671
10/31/20,80630
11/1/20,78444
11/2/20,102555
11/3/20,105845
11/4/20,99529
11/5/20,101801
11/6/20,94814
11/7/20,79056
11/8/20,79877
11/9/20,107845
11/10/20,109798
11/11/20,104391
11/12/20,102326
11/13/20,91087
11/14/20,73694
11/15/20,78603
11/16/20,104071
11/17/20,105881
11/18/20,106319
11/19/20,107460
11/20/20,100715
11/21/20,81944
11/22/20,82855
11/23/20,106682
11/24/20,103446
11/25/20,102297
11/26/20,96914
11/27/20,91421
11/28/20,78132
11/29/20,81485
11/30/20,101646
12/1/20,114426
12/2/20,109345
12/3/20,108868
12/4/20,98235
12/5/20,83216
12/6/20,84131
12/7/20,105421
12/8/20,105138
12/9/20,107275
12/10/20,103905
12/11/20,93181
12/12/20,76739
12/13/20,81319
12/14/20,98283
12/15/20,103913
12/16/20,101266
12/17/20,101213
12/18/20,95871
12/19/20,78143
12/20/20,78643
12/21/20,93976
12/22/20,93920
12/23/20,87300
12/24/20,75735
12/25/20,61996
12/26/20,67486
12/27/20,74560
12/28/20,92220
12/29/20,88822
12/30/20,85695
12/31/20,68644
1/1/21,58206
1/2/21,73040
1/3/21,81704
1/4/21,105853
1/5/21,98731
1/6/21,102146
1/7/21,95260
1/8/21,95169
1/9/21,80647
1/10/21,83016
1/11/21,106011
1/12/21,108331
1/13/21,106518
1/14/21,104053
1/15/21,97108
1/16/21,85288
1/17/21,85018
1/18/21,105936
1/19/21,114457
1/20/21,112167
1/21/21,110433
1/22/21,107281
1/23/21,88413
1/24/21,87102
1/25/21,113454
1/26/21,115748
1/27/21,126096
1/28/21,144951
1/29/21,103232
1/30/21,90365
1/31/21,88650
2/1/21,109924
2/2/21,116419
2/3/21,109642
2/4/21,111298
2/5/21,101245
2/6/21,86572
2/7/21,89237
2/8/21,105179
2/9/21,109834
2/10/21,107975
2/11/21,101009
2/12/21,93656
2/13/21,86029
2/14/21,83421
2/15/21,108600
2/16/21,112318
2/17/21,111887
2/18/21,107350
2/19/21,101168
2/20/21,87766
2/21/21,86492
2/22/21,112803
2/23/21,117816
2/24/21,114344
2/25/21,112716
2/26/21,102200
2/27/21,88263
2/28/21,89099
3/1/21,106042
3/2/21,111829
3/3/21,115611
3/4/21,113086
3/5/21,103925
3/6/21,87633
3/7/21,89226
3/8/21,106948
3/9/21,23825
3/10/21,16609
3/11/21,120737
3/12/21,133838
3/13/21,101177
3/14/21,103378
3/15/21,129668
3/16/21,130773
3/17/21,127570
3/18/21,124168
3/19/21,111605
3/20/21,98440
3/21/21,101008
3/22/21,129065
3/23/21,130264
3/24/21,127833
3/25/21,122935
3/26/21,115557
3/27/21,96019
3/28/21,96680
3/29/21,119996
3/30/21,95861
3/31/21,90344
4/1/21,113733
4/2/21,103161
4/3/21,92525
4/4/21,90258
4/5/21,116634
4/6/21,126739
4/7/21,125837
4/8/21,113380
4/9/21,115657
4/10/21,99760
4/11/21,101360
4/12/21,125893
4/13/21,122078
4/14/21,121320
4/15/21,122100
4/16/21,112558
4/17/21,96269
4/18/21,99147
4/19/21,109861
4/20/21,121327
4/21/21,124676
4/22/21,112398
4/23/21,115016
4/24/21,99953
4/25/21,104782
4/26/21,126651
4/27/21,127005
4/28/21,123668
4/29/21,114231
4/30/21,69687
5/1/21,91595
5/2/21,91778
5/3/21,118135
5/4/21,121355
5/5/21,119447
5/6/21,117345
5/7/21,49773
5/9/21,44963
5/12/21,117721
5/13/21,114946
5/14/21,109638
5/15/21,95846
5/16/21,103193
5/17/21,128126
5/18/21,129196
5/19/21,121505
5/20/21,90986
5/21/21,116331
5/22/21,98563
5/23/21,100701
5/24/21,126597
5/25/21,119048
5/26/21,118037
5/27/21,120698
5/28/21,107432
5/29/21,99041
5/30/21,101613
5/31/21,122064
6/1/21,121498
6/2/21,118549
6/3/21,130319
6/4/21,109919
6/5/21,100117
6/6/21,103828
6/7/21,128783
6/8/21,106234
6/9/21,121570
6/10/21,108388
6/11/21,112085
6/12/21,94978
6/13/21,116448
6/14/21,120858
6/15/21,123784
6/16/21,117345
6/17/21,122135
6/18/21,113511
6/19/21,94394
6/20/21,94780
6/21/21,123506
6/22/21,125788
6/23/21,122112
6/24/21,118903
6/25/21,112095
6/26/21,94584
6/27/21,98104
6/28/21,118501
6/29/21,124128
6/30/21,124831
7/1/21,119866
7/2/21,116890
7/3/21,98639
7/4/21,98093
7/5/21,123479
7/6/21,127841
7/7/21,123270
7/8/21,118961
7/9/21,110726
7/10/21,98320
7/11/21,105455
7/12/21,129645
7/13/21,130106
7/14/21,137506
7/15/21,146025
7/16/21,148427
7/17/21,122365
7/18/21,93509
7/19/21,124925
7/20/21,114272
7/21/21,137137
7/22/21,154285
7/23/21,146109
7/24/21,128998
7/25/21,98021
7/26/21,131225
7/27/21,154191
7/28/21,176764
7/29/21,128350
7/30/21,143211
7/31/21,126987
8/1/21,136434
8/2/21,150533
8/3/21,142564
8/4/21,145314
8/5/21,137812
8/6/21,140322
8/7/21,135713
8/8/21,130056
8/9/21,166778
8/10/21,120717
8/11/21,110023
8/12/21,107552
8/13/21,163009
8/14/21,182501
8/15/21,227882
8/16/21,270627
8/17/21,185338
8/18/21,127309
8/19/21,125745
8/20/21,118103
8/21/21,95644
8/22/21,91330
8/23/21,126010
8/24/21,127188
8/27/21,2761
8/28/21,94315
8/29/21,96335
8/30/21,122793
8/31/21,123168
9/1/21,105684
9/2/21,93042
9/3/21,115007
9/4/21,95189
9/5/21,96545
9/6/21,129240
9/7/21,125624
9/8/21,121725
9/9/21,127429
9/10/21,115370
9/11/21,93984
9/12/21,101449
9/13/21,135527
9/14/21,139322
9/15/21,152456
9/16/21,144077
9/17/21,128531
9/18/21,106935
9/19/21,104222
9/20/21,130223
9/21/21,121029
9/22/21,133643
9/23/21,138300
9/24/21,126015
9/25/21,102827
9/26/21,105089
9/27/21,123273
9/28/21,111345
9/29/21,138146
9/30/21,138340
10/1/21,123426
10/2/21,102473
10/3/21,103494
10/4/21,131334
10/5/21,118390
10/6/21,6423
10/7/21,44227
10/8/21,46979
10/9/21,60489
10/10/21,62502
10/11/21,44526
10/12/21,42939
10/13/21,42652
10/14/21,45065
10/15/21,44347
10/16/21,62944
10/17/21,66542
10/18/21,41624
10/19/21,44689
10/20/21,45985
10/21/21,45047
10/22/21,10995
10/23/21,3993
10/24/21,6239
10/25/21,2204
10/29/21,18911
10/30/21,100048
10/31/21,98676
11/1/21,121897
11/2/21,129018
11/3/21,125069
11/4/21,117058
11/5/21,114693
11/6/21,93925
11/7/21,98130
11/8/21,127167
11/9/21,131107
11/10/21,129432
11/11/21,126688
11/12/21,121085
11/13/21,98590
11/14/21,99757
11/15/21,131124
11/16/21,131352
11/17/21,130371
11/18/21,130184
11/19/21,121059
11/20/21,101517
11/21/21,103937
11/22/21,134656
11/23/21,132413
11/24/21,130804
11/25/21,124835
11/26/21,117226
11/27/21,95656
11/28/21,104214
11/29/21,133832
11/30/21,137288
12/1/21,139865
12/2/21,140264
12/3/21,128458
12/4/21,102298
12/5/21,104214
12/6/21,131579
12/7/21,133063
12/8/21,131034
12/9/21,123752
12/10/21,119682
12/11/21,101099
12/12/21,101986
12/13/21,123620
12/14/21,128021
12/15/21,127719
12/16/21,122227
12/17/21,115410
12/18/21,91825
12/19/21,96055
12/20/21,118604
12/21/21,120578
12/22/21,115864
12/23/21,109378
12/24/21,89707
12/25/21,73392
12/26/21,84383
12/27/21,104767
12/28/21,110687
12/29/21,109050
12/30/21,104979
12/31/21,82446
1/1/22,72309
1/2/22,93322
1/3/22,125464
1/4/22,133057
1/5/22,146386
1/6/22,130238
1/7/22,120833
1/8/22,103032
1/9/22,108657
1/10/22,134520
1/11/22,137400
1/12/22,131167
1/13/22,120860
1/14/22,117071
1/15/22,106716
1/16/22,109339
1/17/22,134369
1/18/22,140216
1/19/22,142758
1/20/22,140498
1/21/22,129172
1/22/22,108858
1/23/22,113782
1/24/22,139171
1/25/22,138847
1/26/22,136987
1/27/22,136127
1/28/22,127941
1/29/22,109076
1/30/22,109461
1/31/22,130526
2/1/22,131468
2/2/22,134707
2/3/22,136183
2/4/22,126599
2/5/22,105925
2/6/22,111192
2/7/22,136813
2/8/22,140053
2/9/22,134857
2/10/22,115042
2/11/22,118447
2/12/22,92884
2/13/22,95057
2/14/22,126121
2/15/22,141424
2/16/22,143506
2/17/22,135183
2/18/22,108258
2/19/22,107428
2/20/22,119006
2/21/22,147027
2/22/22,151927
2/23/22,148716
2/24/22,137245
2/25/22,133159
2/26/22,82154
2/27/22,105110
2/28/22,137744
3/1/22,138846
3/2/22,122439
3/3/22,132645
3/4/22,134379
3/5/22,111397
3/6/22,111798
3/7/22,135427
3/8/22,132748
3/9/22,138882
3/10/22,140531
3/11/22,130236
3/12/22,110302
3/13/22,114656
3/14/22,135755
3/15/22,136549
3/16/22,141231
3/17/22,132108
3/18/22,129477
3/19/22,114459
3/20/22,115043
3/21/22,137332
3/22/22,141458
3/23/22,143733
3/24/22,140716
3/25/22,132940
3/26/22,113980
3/27/22,114185
3/28/22,143055
3/29/22,141137
3/30/22,142935
3/31/22,133329
4/1/22,131825
4/2/22,112356
4/3/22,113262
4/4/22,136979
4/5/22,142877
4/6/22,142925
4/7/22,140357
4/8/22,134848
4/9/22,111882
4/10/22,116044
4/11/22,132273
4/12/22,124011
4/13/22,134991
4/14/22,118893
4/15/22,120887
4/16/22,106407
4/17/22,107128
4/18/22,140605
4/19/22,147302
4/20/22,141934
4/21/22,137683
4/22/22,128601
4/23/22,108090
4/24/22,111540
4/25/22,138770
4/26/22,141526
4/27/22,137707
4/28/22,133037
4/29/22,114239
4/30/22,104505
5/1/22,103333
5/2/22,127553
5/3/22,129873
5/4/22,130283
5/5/22,129790
5/6/22,114668
5/7/22,109633
5/8/22,109384
5/9/22,131766
5/10/22,139134
5/11/22,138314
5/12/22,137081
5/13/22,129346
5/14/22,109679
5/15/22,112788
5/16/22,132502
5/17/22,141251
5/18/22,135107
5/19/22,128075
5/20/22,134623
5/21/22,110975
5/22/22,113415
5/23/22,138130
5/24/22,136857
5/25/22,129559
5/26/22,136973
5/27/22,133727
5/28/22,113695
5/29/22,116145
5/30/22,144958
5/31/22,127642
6/1/22,105126
6/2/22,126599
6/3/22,128283
6/4/22,113092
6/5/22,114853
6/6/22,132528
6/7/22,132234
6/8/22,133817
6/9/22,126705
6/10/22,125913
6/11/22,110139
6/12/22,110112
6/13/22,124449
6/14/22,132342
6/15/22,131356
6/16/22,125331
6/17/22,127810
6/18/22,111061
6/19/22,111386
6/20/22,126517
6/21/22,126504
6/22/22,123165
6/23/22,126358
6/24/22,120769
6/25/22,108516
6/26/22,110059
6/27/22,120768
6/28/22,126836
6/29/22,125603
6/30/22,127015
7/1/22,119400
7/2/22,107631
7/3/22,113298
7/4/22,129237
7/5/22,131581
7/6/22,123230
7/7/22,108192
7/8/22,117705
7/9/22,101515
7/10/22,101683
7/11/22,120126
7/12/22,125302
7/13/22,123727
7/14/22,122688
7/15/22,122284
7/16/22,110439
7/17/22,111104
7/18/22,125406
7/19/22,135666
7/20/22,127491
7/21/22,142766
7/22/22,132035
7/23/22,111929
7/24/22,112457
7/25/22,146065
7/26/22,151489
7/27/22,152242
7/28/22,144215
7/29/22,130673
7/30/22,104668
7/31/22,108452
8/1/22,137866
8/2/22,144151
8/3/22,142653
8/4/22,142463
8/5/22,132613
8/6/22,111108
8/7/22,109788
8/8/22,141587
8/9/22,150897
8/10/22,145428
8/11/22,138770
8/12/22,128141
8/13/22,105010
8/14/22,106600
8/15/22,136151
8/16/22,155880
8/17/22,156255
8/18/22,150669
8/19/22,139659
8/20/22,117552
8/21/22,120075
8/22/22,154646
8/23/22,165374
8/24/22,165238
8/25/22,161990
8/26/22,143141
8/27/22,115210
8/28/22,113897
8/29/22,156401
8/30/22,159371
8/31/22,162175
9/1/22,156711
9/2/22,147115
9/3/22,118255
9/4/22,117525
9/5/22,160390
9/6/22,167431
9/7/22,163204
9/8/22,165456
9/9/22,158701
9/10/22,130826
9/11/22,129605
9/12/22,159530
9/13/22,167178
9/14/22,162040
9/15/22,161271
9/16/22,149949
9/17/22,125566
9/18/22,130947
9/19/22,171559
9/20/22,179489
9/21/22,190410
9/22/22,196132
9/23/22,181356
9/24/22,159772
9/25/22,155718
9/26/22,185036
9/27/22,198053
9/28/22,205854
9/29/22,227993
9/30/22,197246
10/1/22,185871
10/2/22,223010
10/3/22,252554
10/4/22,258582
10/5/22,277548
10/6/22,274973
10/7/22,319724
10/8/22,314970
10/9/22,314510
10/10/22,322073
10/11/22,305032
10/12/22,290253
10/13/22,292027
10/14/22,250802
10/15/22,228086
10/16/22,248556
10/17/22,288460
10/18/22,287008
10/19/22,263362
10/20/22,238183
10/21/22,229636
10/22/22,224680
10/23/22,228922
10/24/22,218382
10/25/22,235026
10/26/22,216099
10/27/22,197391
10/28/22,151654
10/29/22,128418
10/30/22,139837
10/31/22,172742
11/1/22,151018
11/2/22,156281
11/3/22,162889
11/4/22,150492
11/5/22,128093
11/6/22,134285
11/7/22,160799
11/8/22,162489
11/9/22,156996
11/10/22,160211
11/11/22,154689
11/12/22,125458
11/13/22,122224
11/14/22,159932
11/15/22,160516
11/16/22,153667
11/17/22,158865
11/18/22,138991
11/19/22,121471
11/20/22,119636
11/21/22,160572
11/22/22,125637
11/23/22,149606
11/24/22,151245
11/25/22,137661
11/26/22,123342
11/27/22,128251
11/28/22,159728
11/29/22,166156
11/30/22,170098
12/1/22,161966
12/2/22,133404
12/3/22,128828
12/4/22,125898
12/5/22,144088
12/6/22,143755
12/7/22,141540
12/8/22,142202
12/9/22,136987
12/10/22,119289
12/11/22,120613
12/12/22,140893
12/13/22,147974
12/14/22,147760
12/15/22,152815
12/16/22,108521
12/17/22,117850
12/18/22,112783
12/19/22,137570
12/20/22,135795
12/21/22,141832
12/22/22,138408
12/23/22,130748
12/24/22,106873
12/25/22,92061
12/26/22,121371
12/27/22,133568
12/28/22,132451
12/29/22,130311
12/30/22,119192
12/31/22,91975
1/1/23,80906
1/2/23,127289
1/3/23,142181
1/4/23,137548
1/5/23,129081
1/6/23,126081
1/7/23,111489
1/8/23,115477
1/9/23,135008
1/10/23,144628
1/11/23,141431
1/12/23,148030
1/13/23,142278
1/14/23,116686
1/15/23,118637
1/16/23,140624
1/17/23,156282
1/18/23,148388
1/19/23,146554
1/20/23,141130
1/21/23,117940
1/22/23,117077
1/23/23,140104
1/24/23,151922
1/25/23,151962
1/26/23,141639
1/27/23,146631
1/28/23,124095
1/29/23,126415
1/30/23,161120
1/31/23,164367
2/1/23,156915
2/2/23,157796
2/3/23,157626
2/4/23,130252
2/5/23,123475
2/6/23,151249
2/7/23,181278
2/8/23,176209
2/9/23,170676
2/10/23,158349
2/11/23,127428
2/12/23,126641
2/13/23,161375
2/14/23,159583
2/15/23,166077
2/16/23,171061
2/17/23,161645
2/18/23,126714
2/19/23,138172
2/20/23,163028
2/21/23,169964
2/22/23,169376
2/23/23,168446
2/24/23,158898
2/25/23,138521
2/26/23,124560
2/27/23,134470
2/28/23,175056
3/1/23,170037
3/2/23,173233
3/3/23,145809
3/4/23,129484
3/5/23,132636
3/6/23,158854
3/7/23,174065
3/8/23,159290
3/9/23,159901
3/10/23,149937
3/11/23,135888
3/12/23,128511
3/13/23,162804
3/14/23,172557
3/15/23,159785
3/16/23,159902
3/17/23,143771
3/18/23,128614
3/19/23,129444
3/20/23,152888
3/21/23,155629
3/22/23,148955
3/23/23,149501
3/24/23,145211
3/25/23,135678
3/26/23,134352
3/27/23,144706
3/28/23,160027
3/29/23,160165
3/30/23,152211
3/31/23,151862
4/1/23,125558
4/2/23,131043
4/3/23,148018
4/4/23,159457
4/5/23,161017
4/6/23,152883
4/7/23,141702
4/8/23,121667
4/9/23,121913
4/10/23,152136
4/11/23,138759
