date,total_events,new_repos,python_repos
2019-11-01,322735,81332,0
2019-11-02,405435,65795,0
2019-11-03,205609,68279,0
2019-11-04,318704,96684,0
2019-11-05,361877,96802,0
2019-11-06,357416,98305,0
2019-11-07,321307,96328,0
2019-11-08,300230,87370,0
2019-11-09,288962,66941,0
2019-11-10,196657,65742,0
2019-11-11,313139,92442,0
2019-11-12,326305,99771,0
2019-11-13,356326,97335,0
2019-11-14,311395,95502,0
2019-11-15,305211,88091,0
2019-11-16,197785,67124,0
2019-11-17,204269,70035,0
2019-11-18,333399,97196,0
2019-11-19,333918,98958,0
2019-11-20,329464,98384,0
2019-11-21,320076,97032,0
2019-11-22,301255,88205,0
2019-11-23,201964,67259,0
2019-11-24,201486,67875,0
2019-11-25,329353,94639,0
2019-11-26,315613,95766,0
2019-11-27,301893,91668,0
2019-11-28,280281,86711,0
2019-11-29,244822,78181,0
2019-11-30,197724,63722,0
2019-12-01,216967,71821,0
2019-12-02,348311,98610,0
2019-12-03,388670,99298,0
2019-12-04,349708,95897,0
2019-12-05,332891,93460,0
2019-12-06,381173,85252,0
2019-12-07,201330,67704,0
2019-12-08,202404,67663,0
2019-12-09,323598,91523,0
2019-12-10,313031,91796,0
2019-12-11,305750,91397,0
2019-12-12,297686,88965,0
2019-12-13,284005,82597,0
2019-12-14,189150,62451,0
2019-12-15,192129,64964,0
2019-12-16,323010,87956,0
2019-12-17,305483,89287,0
2019-12-18,301566,86512,0
2019-12-19,337632,84069,0
2019-12-20,342028,75074,0
2019-12-21,172882,57636,0
2019-12-22,171688,57088,0
2019-12-23,246153,73046,0
2019-12-24,203631,67085,0
2019-12-25,175482,59238,0
2019-12-26,218374,68134,0
2019-12-27,241507,66962,0
2019-12-28,312375,54795,0
2019-12-29,390284,54383,0
2019-12-30,301481,68972,0
2019-12-31,178266,56650,0
2020-01-01,145556,46210,0
2020-01-02,228649,73477,0
2020-01-03,242818,76930,0
2020-01-04,184163,62289,0
2020-01-05,183161,61407,0
2020-01-06,274634,82841,0
2020-01-07,300122,89723,0
2020-01-08,308709,93134,0
2020-01-09,321421,93692,0
2020-01-10,296610,84531,0
2020-01-11,190540,64141,0
2020-01-12,198601,65641,0
2020-01-13,311937,91156,0
2020-01-14,318776,94185,0
2020-01-15,317318,93520,0
2020-01-16,305872,92671,0
2020-01-17,282501,86315,0
2020-01-18,205101,66830,0
2020-01-19,209825,69616,0
2020-01-20,291042,89374,0
2020-01-21,328548,91323,0
2020-01-22,311075,89427,0
2020-01-23,295229,87485,0
2020-01-24,262615,76363,0
2020-01-25,185347,60018,0
2020-01-26,197152,63656,0
2020-01-27,313044,89001,0
2020-01-28,333672,93228,0
2020-01-29,321838,95737,0
2020-01-30,313614,88188,0
2020-01-31,298117,83334,0
2020-02-01,219366,66874,0
2020-02-02,213930,67618,0
2020-02-03,313741,91732,0
2020-02-04,332003,94673,0
2020-02-05,325802,95801,0
2020-02-06,308642,92881,0
2020-02-07,294181,88426,0
2020-02-08,213477,69594,0
2020-02-09,224098,71527,0
2020-02-10,324458,98701,0
2020-02-11,339372,96678,0
2020-02-12,380586,98410,0
2020-02-13,320670,96751,0
2020-02-14,296462,88315,0
2020-02-15,218108,72362,0
2020-02-16,230839,77206,0
2020-02-17,319473,98166,0
2020-02-18,341522,104364,0
2020-02-19,354412,103089,0
2020-02-20,317088,96682,0
2020-02-21,302672,91906,0
2020-02-22,224895,74882,0
2020-02-23,226334,75828,0
2020-02-24,361803,100477,0
2020-02-25,352302,96839,0
2020-02-26,445666,108499,0
2020-02-27,336326,98844,0
2020-02-28,341302,93811,0
2020-02-29,403752,78357,0
2020-03-01,229220,74652,0
2020-03-02,346890,102785,0
2020-03-03,367349,107074,0
2020-03-04,453237,99779,0
2020-03-05,350789,99522,0
2020-03-06,328029,96404,0
2020-03-07,236076,77559,0
2020-03-08,226641,76990,0
2020-03-09,349990,104625,0
2020-03-10,345097,104395,0
2020-03-11,343488,102881,0
2020-03-12,338579,99156,0
2020-03-13,314578,87167,0
2020-03-14,506031,76730,0
2020-03-15,494680,82993,0
2020-03-16,445951,113562,0
2020-03-17,366324,100127,0
2020-03-18,359193,100994,0
2020-03-19,336409,101849,0
2020-03-20,326060,96342,0
2020-03-21,255780,85946,0
2020-03-22,273715,91087,0
2020-03-23,368703,109607,0
2020-03-24,388980,111102,0
2020-03-25,364703,112843,0
2020-03-26,370518,113124,0
2020-03-27,357637,107941,0
2020-03-28,280133,97280,0
2020-03-29,295594,100252,0
2020-03-30,421828,120548,0
2020-03-31,612648,246577,0
2020-04-01,383921,114168,0
2020-04-02,358179,110658,0
2020-04-03,347748,103136,0
2020-04-04,478133,95363,0
2020-04-05,607258,98859,0
2020-04-06,431121,111757,0
2020-04-07,378078,115523,0
2020-04-08,377908,115782,0
2020-04-09,382820,111136,0
2020-04-10,344128,102942,0
2020-04-11,277178,91424,0
2020-04-12,277818,92738,0
2020-04-13,367975,108957,0
2020-04-14,373284,109573,0
2020-04-15,369627,109720,0
2020-04-16,562552,107342,0
2020-04-17,357832,105901,0
2020-04-18,283848,93476,0
2020-04-19,291382,95019,0
2020-04-20,391402,110340,0
2020-04-21,383008,109991,0
2020-04-22,383177,110113,0
2020-04-23,401101,104993,0
2020-04-24,350588,102814,0
2020-04-25,278278,91500,0
2020-04-26,307290,97028,0
2020-04-27,384610,109914,0
2020-04-28,372038,109262,0
2020-04-29,386824,109020,0
2020-04-30,609012,104839,0
2020-05-01,356401,99047,0
2020-05-02,282039,91684,0
2020-05-03,289539,93347,0
2020-05-04,383148,107499,0
2020-05-05,382880,109992,0
2020-05-06,393683,113528,0
2020-05-07,373418,108600,0
2020-05-08,365948,108256,0
2020-05-09,291637,93488,0
2020-05-10,280570,91960,0
2020-05-11,405669,116188,0
2020-05-12,404367,119901,0
2020-05-13,414439,119956,0
2020-05-14,393098,114833,0
2020-05-15,396609,111390,0
2020-05-16,291229,96586,0
2020-05-17,294938,101896,0
2020-05-18,456491,143826,0
2020-05-19,424220,131576,0
2020-05-20,452535,144703,0
2020-05-21,365407,105208,0
2020-05-22,353149,99857,0
2020-05-23,278873,86459,0
2020-05-24,265850,86894,0
2020-05-25,346492,102102,0
2020-05-26,377907,107748,0
2020-05-27,379517,107215,0
2020-05-28,382999,108853,0
2020-05-29,336040,99264,0
2020-05-30,261746,86133,0
2020-05-31,264091,89621,0
2020-06-01,382820,113526,0
2020-06-02,369449,109442,0
2020-06-03,358986,105759,0
2020-06-04,352815,104310,0
2020-06-05,503493,158314,0
2020-06-06,836580,199721,0
2020-06-07,1133094,201017,0
2020-06-08,801343,212233,0
2020-06-09,375123,109000,0
2020-06-10,183901,53908,0
2020-06-11,367661,103419,0
2020-06-12,374491,96667,0
2020-06-13,328503,83442,0
2020-06-14,319938,86663,0
2020-06-15,455450,106310,0
2020-06-16,368989,106715,0
2020-06-17,358888,103946,0
2020-06-18,398366,102601,0
2020-06-19,330255,96694,0
2020-06-20,243525,82171,0
2020-06-21,250645,84063,0
2020-06-22,365392,104746,0
2020-06-23,376400,105364,0
2020-06-24,445278,102649,0
2020-06-25,378957,87465,0
2020-06-26,333730,92834,0
2020-06-27,265473,82876,0
2020-06-28,277207,86819,0
2020-06-29,334148,100068,0
2020-06-30,387770,108792,0
2020-07-01,419984,101386,0
2020-07-02,456166,100845,0
2020-07-03,300782,93270,0
2020-07-04,230490,79417,0
2020-07-05,249101,83581,0
2020-07-06,379829,104427,0
2020-07-07,475086,106414,0
2020-07-08,514723,104867,0
2020-07-09,390809,113594,0
2020-07-10,371560,105601,0
2020-07-11,272398,85430,0
2020-07-12,270808,86894,0
2020-07-13,368097,103497,0
2020-07-14,370378,110160,0
2020-07-15,378509,109114,0
2020-07-16,527859,108482,0
2020-07-17,740013,104626,0
2020-07-18,750433,89776,0
2020-07-19,740890,89860,0
2020-07-20,778697,105379,0
2020-07-21,589004,110952,0
2020-07-22,377453,111324,0
2020-07-23,359997,107636,0
2020-07-24,339736,100615,0
2020-07-25,248728,86369,0
2020-07-26,259591,88834,0
2020-07-27,384780,107788,0
2020-07-28,386326,111354,0
2020-07-29,386837,109588,0
2020-07-30,588011,103144,0
2020-07-31,721819,97829,0
2020-08-01,983860,86643,0
2020-08-02,451652,85379,0
2020-08-03,369685,106059,0
2020-08-04,371316,109153,0
2020-08-05,366104,105029,0
2020-08-06,349627,103866,0
2020-08-07,342074,95079,0
2020-08-08,272343,79870,0
2020-08-09,239286,80941,0
2020-08-10,361708,103435,0
2020-08-11,356945,104612,0
2020-08-12,359886,103000,0
2020-08-13,344507,100761,0
2020-08-14,318629,93640,0
2020-08-15,240151,80194,0
2020-08-16,249407,82474,0
2020-08-17,366515,103166,0
2020-08-18,388061,110431,0
2020-08-19,348623,102947,0
2020-08-20,424791,103242,0
2020-08-21,119693,33353,0
2020-08-23,73291,24253,0
2020-08-24,360368,106278,0
2020-08-25,370910,107926,0
