date,total_events,new_repos
2020-12-05,293871,93368
2020-12-06,270616,94901
2020-12-07,403385,116973
2020-12-08,396028,116580
2020-12-09,398436,118685
2020-12-10,428686,115033
2020-12-11,775176,103580
2020-12-12,982974,86308
2020-12-13,506139,91643
2020-12-14,392525,108863
2020-12-15,381128,115223
2020-12-16,376286,112419
2020-12-17,376205,112341
2020-12-18,343141,106571
2020-12-19,249948,88056
2020-12-20,248727,88832
2020-12-21,377752,104854
2020-12-22,386701,104813
2020-12-23,308473,97551
2020-12-24,260463,85490
2020-12-25,201620,70931
2020-12-26,209263,76725
2020-12-27,231147,84221
2020-12-28,316219,102788
2020-12-29,303194,99197
2020-12-30,300440,96128
2020-12-31,305449,78004
2021-01-01,214067,67237
2021-01-02,234226,83385
2021-01-03,258569,92840
2021-01-04,382057,117567
2021-01-05,792269,109306
2021-01-06,686906,113879
2021-01-07,356440,106358
2021-01-08,342188,105916
2021-01-09,258781,90594
2021-01-10,265800,93456
2021-01-11,396921,117866
2021-01-12,394351,120321
2021-01-13,390712,118524
2021-01-14,404041,115892
2021-01-15,356123,108274
2021-01-16,284199,96049
2021-01-17,273017,95844
2021-01-18,401215,118123
2021-01-19,424478,126936
2021-01-20,436654,123413
2021-01-21,524633,121476
2021-01-22,371260,118461
2021-01-23,286482,98709
2021-01-24,285090,98114
2021-01-25,417217,125401
2021-01-26,396243,127816
2021-01-27,409558,137866
2021-01-28,463095,156054
2021-01-29,381691,114521
2021-01-30,285081,100762
2021-01-31,292713,99371
2021-02-01,429739,121697
2021-02-02,501510,128050
2021-02-03,412392,121001
2021-02-04,416819,122795
2021-02-05,375262,112486
2021-02-06,277487,97024
2021-02-07,285612,100294
2021-02-08,410885,116377
2021-02-09,403487,121410
2021-02-10,410859,119586
2021-02-11,378708,112073
2021-02-12,352411,104306
2021-02-13,271881,96226
2021-02-14,265938,93835
2021-02-15,407951,119947
2021-02-16,414012,123989
2021-02-17,390529,124467
2021-02-18,410852,119361
2021-02-19,387068,114818
2021-02-20,288182,101905
2021-02-21,283860,100303
2021-02-22,447861,128098
2021-02-23,456695,133009
2021-02-24,430950,129809
2021-02-25,412095,127925
2021-02-26,389051,116894
2021-02-27,288882,101632
2021-02-28,289822,103270
2021-03-01,446084,120122
2021-03-02,417546,126162
2021-03-03,530586,131257
2021-03-04,419269,128269
2021-03-05,389215,118841
2021-03-06,289261,101670
2021-03-07,299779,103422
2021-03-08,470561,122060
2021-03-09,166511,26835
2021-03-10,181481,18503
2021-03-11,644877,136083
2021-03-12,481105,148303
2021-03-13,317629,115283
2021-03-14,307654,116918
2021-03-15,463993,144113
2021-03-16,446164,144988
2021-03-17,435894,141026
2021-03-18,482202,137143
2021-03-19,577711,124329
2021-03-20,462990,111865
2021-03-21,322081,114576
2021-03-22,465051,143588
2021-03-23,451644,143962
2021-03-24,460996,142331
2021-03-25,465961,136983
2021-03-26,420752,131013
2021-03-27,296372,109133
2021-03-28,298288,109976
2021-03-29,533822,134730
2021-03-30,674007,107068
2021-03-31,1071266,100145
2021-04-01,771580,127503
2021-04-02,362193,116837
2021-04-03,288356,105641
2021-04-04,289044,102495
2021-04-05,416385,129940
2021-04-06,446459,140469
2021-04-07,467394,139519
2021-04-08,414947,125400
2021-04-09,407415,128813
2021-04-10,308029,111620
2021-04-11,313538,113571
2021-04-12,462114,139218
2021-04-13,434977,135726
2021-04-14,421276,134065
2021-04-15,431325,134444
2021-04-16,406976,124173
2021-04-17,302999,106831
2021-04-18,309960,110127
2021-04-19,580882,120319
2021-04-20,549062,133221
2021-04-21,449239,136624
2021-04-22,449236,123134
2021-04-23,389140,126494
2021-04-24,313083,110636
2021-04-25,319006,116287
2021-04-26,569737,138738
2021-04-27,459784,139515
2021-04-28,453143,135918
2021-04-29,462057,125068
2021-04-30,587506,76601
2021-05-01,298584,102274
2021-05-02,288568,102660
2021-05-03,415842,130086
2021-05-04,430388,133355
2021-05-05,437874,131412
2021-05-06,570695,128824
2021-05-07,340707,54596
2021-05-09,602004,49446
2021-05-12,526773,128956
2021-05-13,429884,126992
2021-05-14,379121,120855
2021-05-15,296183,106296
2021-05-16,313740,116213
2021-05-17,477004,140558
2021-05-18,485253,141488
2021-05-19,576008,133350
2021-05-20,537682,98982
2021-05-21,432076,128190
2021-05-22,299858,109728
2021-05-23,321182,112008
2021-05-24,483552,138872
2021-05-25,743904,130709
2021-05-26,838453,128888
2021-05-27,699757,131986
2021-05-28,1241903,118183
2021-05-29,376986,109913
2021-05-30,397901,112787
2021-05-31,449642,134446
2021-06-01,477991,133411
2021-06-02,496973,130338
2021-06-03,475243,143437
2021-06-04,462566,121614
2021-06-05,561516,111995
2021-06-06,522044,116107
2021-06-07,535108,142219
2021-06-08,794991,116833
2021-06-09,463109,134508
2021-06-10,490804,119457
2021-06-11,738521,124143
2021-06-12,399793,106476
2021-06-13,306807,128236
2021-06-14,436799,134015
2021-06-15,475926,137093
2021-06-16,682326,129911
2021-06-17,600349,135441
2021-06-18,419644,126192
2021-06-19,285918,106094
2021-06-20,286313,106658
2021-06-21,469452,136949
2021-06-22,448301,139537
2021-06-23,428595,135508
2021-06-24,407288,132058
2021-06-25,382421,124476
2021-06-26,284692,106243
2021-06-27,290256,110150
2021-06-28,444004,131061
2021-06-29,509690,137301
2021-06-30,464832,138090
2021-07-01,499717,133234
2021-07-02,406592,129789
2021-07-03,288885,110497
2021-07-04,289310,110162
2021-07-05,449121,137018
2021-07-06,433646,141749
2021-07-07,438979,136299
2021-07-08,422324,131803
2021-07-09,393068,123082
2021-07-10,279950,109622
2021-07-11,301805,116944
2021-07-12,493659,142416
2021-07-13,775593,143052
2021-07-14,444695,151390
2021-07-15,442856,159409
2021-07-16,413820,161322
2021-07-17,305292,133926
2021-07-18,278431,105224
2021-07-19,452870,138202
2021-07-20,505974,126169
2021-07-21,472405,149938
2021-07-22,496772,166981
2021-07-23,451438,158561
2021-07-24,345336,140333
2021-07-25,283245,109746
2021-07-26,461957,143937
2021-07-27,482109,167109
2021-07-28,510581,190186
2021-07-29,431350,141150
2021-07-30,450864,155312
2021-07-31,342393,138231
2021-08-01,393430,147870
2021-08-02,508153,162767
2021-08-03,491405,154765
2021-08-04,943347,156804
2021-08-05,510997,150412
2021-08-06,437673,152508
2021-08-07,358411,147161
2021-08-08,351566,141664
2021-08-09,543972,179552
2021-08-10,507619,132446
2021-08-11,1320797,120833
2021-08-12,1314466,118354
2021-08-13,535520,174944
2021-08-14,450772,194297
2021-08-15,548434,239642
2021-08-16,724112,283730
2021-08-17,540039,198497
2021-08-18,431261,140853
2021-08-19,419686,139036
2021-08-20,394365,131199
2021-08-21,282282,107326
2021-08-22,280439,104101
2021-08-23,489342,142324
2021-08-24,430914,141755
2021-08-27,10116,2994
2021-08-28,281910,105949
2021-08-29,289003,108286
2021-08-30,472271,135989
2021-08-31,490218,136304
2021-09-01,491992,116223
2021-09-02,515301,102114
2021-09-03,406120,127783
2021-09-04,283526,106635
2021-09-05,306856,108718
2021-09-06,458176,143633
2021-09-07,414628,138183
2021-09-08,441013,134169
2021-09-09,444343,140767
2021-09-10,415255,128197
2021-09-11,277573,105347
2021-09-12,306208,114057
2021-09-13,484468,149558
2021-09-14,479978,153494
